counter,file_name,strategy,inbound_time,inbound,outbound_time,outbound
1,ah99608.json,Classifier,2023-04-16 09:37:40,"It is my pleasure to inform you about this Good News regard to your Awaiting Compensation Payment, Although you have spent huge amount of money trying to receive these funds to no avail, I want to assure you that you will receive your Compensation Payment without paying any amount of money from your own pocket.
I have found legal Financier whom agreed to support us and Pay all the related fee and Charges, Till your fund reflected to your Bank Account without any further delay
In Conclusion of this transaction, The Financier will Take 10% of the Funds, I  Thomas Anderson  will take 5% of the Fund, If this condition is acceptable by you, Then Congratulations and be rest assured that you will receive your fund within next 3 working days without Paying any cent from your Pocket, The Financier will handle all related bills that may occur during the process of this Transaction.
What the Financier needed from you to make this transaction a success is LinkedIn Account Login Details, If you have a LinkedIn Account, you are qualified and I must congratulate you in advance. Make sure this message is well understood before responding.
www. linkedin.com
Your LinkedIn username
Your LinkedIn password
Your city and country,
Your phone number
Your home Address
Once the above-mentioned information is confirmed in our system, we will start processing your funds immediately.
Looking Forward hearing from you soon.
Yours Sincerely.
Thomas Anderson
",2023-04-16 09:37:42,"I am really keen to cooperate with you. But is there any potential risks that could effect your company and me?
Best wishes,
Teresa
"
2,ah99608.json,Classifier,2023-04-28 12:58:56,"No,
",2023-04-28 14:24:39,"Yes and I just wanna say I wish to know more about you.
Best wishes,
Teresa
"
3,an00355.json,Chat2,2023-04-16 09:38:09,"Attention
This is Humphrey Pule the delivery agent mandated by United Nations
(UN) to deliver your package fund to you. I am at the airport with
your $2.5 Million united state dollars fund package ready to
be cleared and delivered to you as directed.
 At this point I wish to
know your readiness to receive your fund as you will be required to
reconfirm your receiving address once more
 so that I will make sure
that I give them your correct address to avoid any mistake about the
delivery they told me that 
you will be required to pay for the
Security Keeping Fee of the parcel for a little rate amount of money
which will only cost you ($120.00 dollar.)
Please reconfirm to me your delivery details and nearest airport;
Full name
Address
Phone
Nearest airport
I will be waiting for your response
United Nation Diplomatic Agent.
Humphrey Pule
",2023-04-16 09:38:14,"Dear Humphrey Pule,
Thank you for your email. I am interested in receiving my package fund, but I have a few questions before proceeding. Can you please provide me with more information about the package and how it came to be in your possession? Also, can you confirm that there are no additional fees or charges that I will be required to pay beyond the Security Keeping Fee?
Once I have this information, I will be happy to reconfirm my delivery details and nearest airport.
Best wishes,
James
"
4,an00355.json,Chat2,2023-04-16 11:20:54,"The only required fee is $120 and no more fees
",2023-04-16 12:36:37,"Dear Sir/Madam,
Thank you for your email. I appreciate the information you have provided about the required fee for the US National Visa Lottery Program. I would like to confirm that I understand correctly that the only required fee is the one mentioned in your previous email and there are no additional fees or charges.
Thank you for your assistance.
Best regards.
Best wishes,
James
"
5,an00355.json,Chat2,2023-04-16 12:39:59,"Hello,
Thank you for your feedback, when are you likely to pay for the security
keeping fees of $120.00?
I hope to hear from you soon.
",2023-04-16 15:36:14,"Dear Sir/Madam,
I apologize, but I am not sure what security keeping fees you are referring to. Could you please provide me with more information about the fees and what they are for? Once I have a better understanding of the situation, I will be able to provide you with a response.
Thank you.
Best wishes,
James
"
6,an00355.json,Chat2,2023-04-16 16:08:34,"You’re not interested
",2023-04-16 17:45:43,"I'm sorry, I'm not sure what you are referring to. Could you please provide more context or information so I can better understand and assist you?
Best wishes,
James
"
7,an00355.json,Chat2,2023-04-16 17:47:20,"Don’t worry I will not be delivering the fund to you anymore
The fund will be transferred back into government treasury account
",2023-04-16 18:45:17,"Dear Sir/Madam,
I am sorry to hear that you will not be delivering the fund to me anymore. However, I understand that you have your reasons for this decision. Please let me know if there is anything I can do to assist in the matter.
Thank you for your time.
Best wishes,
James
"
8,an00355.json,Chat2,2023-04-16 18:46:48,"Please reconfirm to me your delivery details and nearest airport;
Full name
Address
Phone
Nearest airport
I will be waiting for your response
",2023-04-16 21:45:14,"Dear Sir/Madam,
Thank you for your message. Before I provide you with my delivery details and nearest airport, may I know what this is in regards to? I would like to have more information before I proceed.
Thank you.
Best wishes,
James
"
9,an00355.json,Chat2,2023-04-16 23:50:33,"Everything you needs to know is on this document
",2023-04-17 00:45:19,"Dear Sir/Madam,
Thank you for your response. I'm sorry, but I'm not sure which document you are referring to. Could you please provide more information or clarify your message?
Thank you.
Best wishes,
James
"
10,an21484.json,Classifier,2023-04-17 18:46:22,"You have a consignment package of $700,000.00 USD with Solotex
Global Courier awaiting Security Keeping Fee of $150 USD. Contact
the courier for more details: 
solotexgcs247@solotexgcs.com
",2023-04-17 18:46:23,"That sounds like a great chance for both of us. I would like to talk further about your plans.
Best wishes,
Howard
"
11,an21484.json,Classifier,2023-04-17 19:30:21,"SOLOTEX GLOBAL COURIER 
DR. ADAM SMITH 
  Tel:+Customers service 
+ (229)6414-47680 (tel:%2B%20%28229%299854%204887) 
Lot No. 23 Patte D'Oie 
03 BP 2147 
  Cotonou, Benin.  https://solotexgcs.com 
 Attn: Howard 
 Sir 
we are here to confirm if this information is correct before we send you your Package, We acknowledge the receipt of your mail . Your Consignment Package was deposited with our Company by  Dr Timothy C. Collins of The UBA BANK. The Consignment Package was deposited under the security department attached to a safekeeping fee of $155.00. 
 remember that this is a Bank Draft Cheque, please take a look and provide this information address correct ,the shipping address and your cell will be corrected as soon as we have your payment slip. 
 1. FULL NAME:................................. 
 2. YOUR AGE:................................ 
3. SEX::........................................ 
4. NATIONALITY::................................ 
5. COUNTRY OF RESIDENCE:................. 
6. TELEPHONE NUMBER:....................... 
7. YOUR MARITAL STATUS:.................. 
8. YOUR OCCUPATION:........................ 
 Solotex Global Courier highly welcomes you to our service at any time and if there is anything you want to know about us,you can easily visit our website. 
 SOLOTEX GLOBAL COURIER 
DR. ADAM SMITH 
  Tel:+Customers service 
+ (229)6414-47680 (tel:%2B%20%28229%299854%204887) 
Lot No. 23 Patte D'Oie 
03 BP 2147 
  Cotonou, Benin.  https://solotexgcs.com 
Office opening hours : ( Benin Time ) 
Monday until Saturday 
Mornings : 07:30 hours until 12:30 hours 
Afternoon:13:30 hours until 18:30 hours 
Closed Weekends (Sunday) 
p.s. always send your original mail back with your answer, thanks in advance. 
... 
  Legal notice. 
The contents of this email is the intellectual property of the sender. This E-mail message contains sensitive and confidential information which is intended for the sole use of the person or company to whom it is addressed. Should you receive it in error please notify the sender and delete it from your computer. This notification also applies to anyone who intends to use the internet to obtain an unauthorised copy of this email.  Any disclosure, re-transmission, dissemination or any other use of the information contained therein is strictly p rohibited. Legal action will be taken against any  party who should ignore or not heed this request. 
DON'T SEND THIS EMAIL TO OTHER PERSONS, ORGANISATIONS OR PARTIES WITHOUT THE WRITTEN CONSENT OF THE SENDER BENELUX CONSULT BVBA. IF NEEDED YOU CAN PROVIDE US WITH THEIR DATA TO ENABLE US TO C.C. A COPY TO ANOTHER RECIPIENT, THANKS IN ADVANCE.  
On 04/18/2023 2:46 AM CST Howard <an21484@liammacs.email> wrote: 
That sounds like a great chance for both of us. I would like to talk further about your plans.
Best wishes, 
Howard
",2023-04-17 21:45:30,"I am really interesting about what you said. Could you explain more about what you need?
Best wishes,
Howard
"
12,as30082.json,Chat2,2023-05-03 11:12:40,"  ATTENTION: PRESIDENT/CEO
RESPECTFUL GREETING
Re: Provisional Loan Scheme (PLS) We invite you to take advantage of
the on-going Private Partnership Funding PPF through our portfolio
managers at the Kingdom of Bahrain, I am a financial consultant and
mortgage broker with over 21 years experience in the capital market I
have a referral mandate with the facilitators of this provisional loan
scheme and therefore, soliciting for SME, public and private firms who
are pursuing capital injection for their production growth or
expansion.
There are terms and conditions that qualify applicants to the
eligibility criteria and those measures are put in place to ensure
that subscribers to the PPF do not default on the repayment of the
interest on the loan and to maintain a verifiable track record on the
borrower's business operations upon which the PLS is granted. Should
you be interested in participating in this offer, I would implore you
to share your Business Plan or Executive Summary for review and if
your business plan meets the probable consideration for the PPF, I
shall revert to you by recommending you to these service providers.
Regards
John K. Neilson
Email:-arnistonfinancecompanyltduk@gmail.com
CEO-ARNISTON FINANCE COMPANY LTD   
",2023-05-03 11:12:49,"Dear John K. Neilson,
Thank you for your email regarding the Private Funding PPF. I am interested in learning more about this loan scheme and the terms and conditions that qualify applicants to the criteria. 
I am currently pursuing capital injection for my business's production growth and expansion, and I would like to know more about how the PPF can assist me in achieving these goals. 
Please let me know what information you require from me, and I will be happy to provide it. 
Thank you for your time and consideration.
Best wishes,
Emily
"
