n,scammer,conversation_days,number_of_conversations,outbounds,inbounds,strategy
1,scammer_1,0.04346064814814815,3, 2, 1,gpt-4-Chat1
2,scammer_3,0.00030092592592592595,3, 2, 1,gpt-4-Chat1
3,scammer_4,0.00034722222222222224,3, 2, 1,gpt-4-Chat1
4,scammer_6,0.0,2, 1, 1,gpt-4-Chat1
5,scammer_8,0.0,2, 1, 1,gpt-3.5-turbo-Chat2
6,scammer_9,0.12563657407407408,9, 7, 2,gpt-3.5-turbo-Chat2
7,scammer_10,0.13447916666666668,5, 3, 2,gpt-4-Chat1
8,scammer_11,0.06702546296296297,8, 5, 3,gpt-3.5-turbo-Chat2
9,scammer_13,0.002384259259259259,3, 2, 1,gpt-3.5-turbo-Chat2
10,scammer_16,0.014444444444444444,5, 3, 2,gpt-4-Chat1
11,scammer_21,1.7724768518518519,11, 7, 4,gpt-3.5-turbo-Chat2
12,scammer_24,0.22846064814814815,4, 2, 2,gpt-4-Chat1
13,scammer_28,0.7175578703703703,4, 2, 2,gpt-3.5-turbo-Chat2
14,scammer_29,0.0007638888888888889,3, 2, 1,gpt-4-Chat1
15,scammer_30,0.0042592592592592595,3, 2, 1,gpt-4-Chat1
16,scammer_31,0.8848495370370371,6, 4, 2,gpt-3.5-turbo-Chat2
17,scammer_32,0.0,2, 1, 1,gpt-4-Chat1
18,scammer_34,0.0,2, 1, 1,gpt-4-Chat1
19,scammer_35,2.0051041666666665,7, 4, 3,gpt-3.5-turbo-Chat2
20,scammer_38,15.080381944444444,82, 42, 40,gpt-3.5-turbo-Chat2
21,scammer_42,0.010416666666666666,3, 2, 1,gpt-4-Chat1
22,scammer_47,0.0,2, 1, 1,gpt-3.5-turbo-Chat2
23,scammer_55,0.030949074074074073,11, 6, 5,gpt-3.5-turbo-Chat2
24,scammer_59,0.2953587962962963,29, 16, 13,gpt-4-Chat1
25,scammer_61,0.0,2, 1, 1,gpt-3.5-turbo-Chat2
26,scammer_63,2.9384259259259258,4, 3, 1,gpt-4-Chat1
27,scammer_65,1.480775462962963,7, 3, 4,gpt-4-Chat1
28,scammer_69,6.0980439814814815,7, 4, 3,gpt-3.5-turbo-Chat2
29,scammer_70,1.8678703703703703,17, 15, 2,gpt-3.5-turbo-Chat2
30,scammer_73,5.5897800925925925,3, 2, 1,gpt-4-Chat1
31,scammer_74,0.8049189814814814,5, 3, 2,gpt-4-Chat1
32,scammer_75,1.0821412037037037,19, 10, 9,gpt-3.5-turbo-Chat2
33,scammer_78,5.793101851851852,25, 13, 12,gpt-4-Chat1
34,scammer_83,5.187997685185185,34, 19, 15,gpt-3.5-turbo-Chat2
35,scammer_84,0.01607638888888889,3, 2, 1,gpt-3.5-turbo-Chat2
36,scammer_85,0.0003356481481481481,3, 2, 1,gpt-3.5-turbo-Chat2
37,scammer_86,22.88533564814815,4, 3, 1,gpt-3.5-turbo-Chat2
38,scammer_87,0.0008333333333333334,4, 3, 1,gpt-4-Chat1
39,scammer_88,0.02516203703703704,9, 6, 3,gpt-3.5-turbo-Chat2
40,scammer_91,10.257141203703704,40, 21, 19,gpt-3.5-turbo-Chat2
41,scammer_92,4.293587962962963,3, 2, 1,gpt-4-Chat1
42,scammer_93,2.94375,4, 3, 1,gpt-3.5-turbo-Chat2
43,scammer_97,5.228356481481481,9, 6, 3,gpt-3.5-turbo-Chat2
44,scammer_100,7.101076388888889,18, 11, 7,gpt-4-Chat1
45,scammer_101,3.0609953703703705,21, 12, 9,gpt-4-Chat1
46,scammer_102,0.04857638888888889,15, 8, 7,gpt-4-Chat1
47,scammer_103,1.3375694444444444,3, 2, 1,gpt-3.5-turbo-Chat2
48,scammer_104,0.8218865740740741,31, 22, 9,gpt-4-Chat1
49,scammer_105,11.957696759259258,13, 7, 6,gpt-4-Chat1
50,scammer_107,0.002199074074074074,3, 1, 2,gpt-4-Chat1
51,scammer_111,3.963599537037037,12, 7, 5,gpt-3.5-turbo-Chat2
52,scammer_112,7.287407407407407,7, 5, 2,gpt-4-Chat1
53,scammer_114,0.05126157407407408,7, 4, 3,gpt-3.5-turbo-Chat2
54,scammer_115,5.636817129629629,6, 4, 2,gpt-3.5-turbo-Chat2
55,scammer_116,0.057951388888888886,18, 10, 8,gpt-4-Chat1
56,scammer_120,0.03869212962962963,3, 2, 1,gpt-3.5-turbo-Chat2
57,scammer_124,3.9891319444444444,30, 22, 8,gpt-4-Chat1
58,scammer_126,3.20787037037037,20, 11, 9,gpt-3.5-turbo-Chat2
59,scammer_128,5.670694444444444,17, 10, 7,gpt-3.5-turbo-Chat2
60,scammer_129,3.0861342592592593,15, 8, 7,gpt-3.5-turbo-Chat2
61,scammer_130,5.777673611111111,26, 15, 11,gpt-4-Chat1
62,scammer_131,2.688148148148148,7, 4, 3,gpt-3.5-turbo-Chat2
63,scammer_132,2.6246412037037037,10, 5, 5,gpt-4-Chat1
64,scammer_135,0.056122685185185185,3, 2, 1,gpt-4-Chat1
65,scammer_140,8.346354166666666,170, 85, 85,gpt-3.5-turbo-Chat2
66,scammer_142,2.0003356481481482,7, 4, 3,gpt-3.5-turbo-Chat2
67,scammer_143,0.04850694444444444,5, 3, 2,gpt-3.5-turbo-Chat2
68,scammer_145,0.292662037037037,5, 4, 1,gpt-3.5-turbo-Chat2
69,scammer_148,8.101851851851852e-05,3, 2, 1,gpt-3.5-turbo-Chat2
70,scammer_150,13.665671296296296,12, 9, 3,gpt-3.5-turbo-Chat2
71,scammer_160,0.00047453703703703704,3, 2, 1,gpt-4-Chat1
72,scammer_161,0.6803587962962963,14, 9, 5,gpt-3.5-turbo-Chat2
73,scammer_162,5.741238425925926,5, 3, 2,gpt-3.5-turbo-Chat2
74,scammer_163,0.04097222222222222,15, 9, 6,gpt-4-Chat1
75,scammer_164,11.563043981481481,57, 31, 26,gpt-3.5-turbo-Chat2
76,scammer_167,5.3546875,9, 5, 4,gpt-3.5-turbo-Chat2
77,scammer_168,27.58900462962963,7, 4, 3,gpt-3.5-turbo-Chat2
78,scammer_169,0.02189814814814815,4, 3, 1,gpt-4-Chat1
79,scammer_170,0.0,2, 1, 1,gpt-4-Chat1
80,scammer_177,5.564201388888889,13, 7, 6,gpt-3.5-turbo-Chat2
81,scammer_178,0.0,2, 1, 1,gpt-4-Chat1
82,scammer_183,0.05914351851851852,20, 11, 9,gpt-4-Chat1
83,scammer_188,7.103125,28, 17, 11,gpt-3.5-turbo-Chat2
84,scammer_190,5.834456018518519,42, 28, 14,gpt-4-Chat1
85,scammer_191,8.605543981481482,17, 11, 6,gpt-3.5-turbo-Chat2
86,scammer_194,1.395474537037037,10, 7, 3,gpt-4-Chat1
87,scammer_196,0.04542824074074074,5, 3, 2,gpt-4-Chat1
88,scammer_197,0.48515046296296294,8, 5, 3,gpt-4-Chat1
89,scammer_198,2.9657175925925925,16, 10, 6,gpt-3.5-turbo-Chat2
90,scammer_201,0.056122685185185185,12, 7, 5,gpt-4-Chat1
91,scammer_208,0.10155092592592592,5, 3, 2,gpt-4-Chat1
92,scammer_214,4.793784722222222,27, 17, 10,gpt-4-Chat1
93,scammer_219,0.009398148148148149,3, 2, 1,gpt-4-Chat1
94,scammer_223,6.850555555555555,25, 17, 8,gpt-4-Chat1
95,scammer_226,6.179351851851852,39, 20, 19,gpt-3.5-turbo-Chat2
96,scammer_233,0.0002777777777777778,3, 2, 1,gpt-3.5-turbo-Chat2
97,scammer_236,0.016064814814814816,3, 2, 1,gpt-3.5-turbo-Chat2
98,scammer_240,4.173634259259259,7, 4, 3,gpt-3.5-turbo-Chat2
